날짜,PM10_1,PM10_2,PM25_1,PM25_2,O3_1,O3_2,NO2_1,NO2_2,CO_1,Co_2,SO2_1,SO2_2
2021-04-20:01,보통,65,보통,28,보통,0.049,좋음,0.023,좋음,0.4,좋음,0.003
2021-04-19:24,보통,60,보통,26,보통,0.049,좋음,0.025,좋음,0.4,좋음,0.003
2021-04-19:23,보통,60,보통,21,보통,0.050,좋음,0.025,좋음,0.4,좋음,0.003
2021-04-19:22,보통,58,보통,23,보통,0.054,좋음,0.023,좋음,0.5,좋음,0.003
2021-04-19:21,보통,64,보통,26,보통,0.051,좋음,0.026,좋음,0.5,좋음,0.003
2021-04-19:20,보통,62,보통,26,보통,0.048,보통,0.033,좋음,0.5,좋음,0.003
2021-04-19:19,보통,62,보통,26,보통,0.058,좋음,0.024,좋음,0.4,좋음,0.004
2021-04-19:18,보통,58,보통,23,보통,0.060,좋음,0.023,좋음,0.4,좋음,0.004
2021-04-19:17,보통,58,보통,21,보통,0.056,좋음,0.026,좋음,0.4,좋음,0.004
2021-04-19:16,보통,54,보통,20,보통,0.054,좋음,0.028,좋음,0.4,좋음,0.004
2021-04-19:15,보통,59,보통,22,보통,0.052,좋음,0.028,좋음,0.5,좋음,0.004
2021-04-19:14,보통,53,보통,21,보통,0.053,좋음,0.023,좋음,0.4,좋음,0.004
2021-04-19:13,보통,55,보통,24,보통,0.051,좋음,0.022,좋음,0.4,좋음,0.004
2021-04-19:12,보통,51,보통,20,보통,0.044,좋음,0.025,좋음,0.5,좋음,0.004
2021-04-19:11,보통,52,보통,22,보통,0.036,좋음,0.030,좋음,0.4,좋음,0.003
2021-04-19:10,보통,48,보통,23,좋음,0.029,보통,0.035,좋음,0.5,좋음,0.004
2021-04-19:09,보통,55,보통,29,좋음,0.019,보통,0.041,좋음,0.6,좋음,0.003
2021-04-19:08,보통,47,보통,29,좋음,0.008,보통,0.044,좋음,0.5,좋음,0.003
2021-04-19:07,보통,45,보통,26,좋음,0.007,보통,0.042,좋음,0.5,좋음,0.003
2021-04-19:06,보통,42,보통,24,좋음,0.016,좋음,0.029,좋음,0.4,좋음,0.002
2021-04-19:05,보통,44,보통,26,좋음,0.026,좋음,0.021,좋음,0.4,좋음,0.003
2021-04-19:04,보통,40,보통,21,보통,0.038,좋음,0.014,좋음,0.4,좋음,0.002
2021-04-19:03,보통,35,보통,19,보통,0.036,좋음,0.018,좋음,0.4,좋음,0.002
2021-04-19:02,보통,34,보통,17,보통,0.036,좋음,0.020,좋음,0.4,좋음,0.002
2021-04-19:01,보통,38,보통,19,보통,0.032,좋음,0.025,좋음,0.4,좋음,0.003
2021-04-18:24,보통,36,보통,18,보통,0.035,좋음,0.022,좋음,0.4,좋음,0.003
2021-04-18:23,보통,41,보통,20,보통,0.037,좋음,0.020,좋음,0.4,좋음,0.003
2021-04-18:22,보통,40,보통,19,보통,0.035,좋음,0.021,좋음,0.4,좋음,0.002
2021-04-18:21,보통,48,보통,21,보통,0.038,좋음,0.018,좋음,0.4,좋음,0.002
2021-04-18:20,보통,51,보통,20,보통,0.040,좋음,0.019,좋음,0.4,좋음,0.002
2021-04-18:19,보통,55,보통,21,보통,0.042,좋음,0.015,좋음,0.4,좋음,0.002
2021-04-18:18,보통,45,좋음,14,보통,0.041,좋음,0.013,좋음,0.4,좋음,0.003
2021-04-18:17,보통,42,좋음,14,보통,0.045,좋음,0.007,좋음,0.3,좋음,0.002
2021-04-18:16,보통,42,좋음,14,보통,0.045,좋음,0.007,좋음,0.3,좋음,0.002
2021-04-18:15,보통,43,보통,16,보통,0.043,좋음,0.008,좋음,0.3,좋음,0.002
2021-04-18:14,보통,38,좋음,15,보통,0.043,좋음,0.006,좋음,0.3,좋음,0.002
2021-04-18:13,보통,35,보통,16,보통,0.040,좋음,0.006,좋음,0.3,좋음,0.002
2021-04-18:12,보통,31,좋음,13,보통,0.037,좋음,0.006,좋음,0.3,좋음,0.002
2021-04-18:11,좋음,25,좋음,9,보통,0.033,좋음,0.007,좋음,0.3,좋음,0.002
2021-04-18:10,좋음,17,좋음,4,좋음,0.029,좋음,0.008,좋음,0.3,좋음,0.003
2021-04-18:09,좋음,20,좋음,6,좋음,0.025,좋음,0.009,좋음,0.4,좋음,0.002
2021-04-18:08,좋음,16,좋음,7,좋음,0.020,좋음,0.012,좋음,0.4,좋음,0.002
2021-04-18:07,좋음,22,좋음,12,좋음,0.019,좋음,0.012,좋음,0.4,좋음,0.002
2021-04-18:06,좋음,17,좋음,10,좋음,0.021,좋음,0.011,좋음,0.4,좋음,0.002
2021-04-18:05,좋음,18,좋음,9,좋음,0.024,좋음,0.009,좋음,0.4,좋음,0.002
2021-04-18:04,좋음,18,좋음,10,좋음,0.026,좋음,0.009,좋음,0.4,좋음,0.002
2021-04-18:03,좋음,27,좋음,12,좋음,0.029,좋음,0.009,좋음,0.3,좋음,0.002
2021-04-18:02,보통,32,좋음,12,보통,0.032,좋음,0.011,좋음,0.3,좋음,0.002
2021-04-18:01,보통,43,좋음,11,보통,0.035,좋음,0.010,좋음,0.3,좋음,0.002
2021-04-17:24,보통,41,좋음,9,보통,0.034,좋음,0.013,좋음,0.3,좋음,0.002
2021-04-17:23,보통,39,좋음,7,보통,0.034,좋음,0.013,좋음,0.3,좋음,0.003
2021-04-17:22,보통,36,좋음,9,보통,0.033,좋음,0.015,좋음,0.3,좋음,0.002
2021-04-17:21,보통,32,좋음,8,보통,0.033,좋음,0.016,좋음,0.3,좋음,0.002
2021-04-17:20,보통,35,좋음,8,보통,0.034,좋음,0.013,좋음,0.3,좋음,0.002
2021-04-17:19,보통,47,좋음,11,보통,0.036,좋음,0.011,좋음,0.3,좋음,0.002
2021-04-17:18,보통,41,좋음,9,보통,0.036,좋음,0.012,좋음,0.3,좋음,0.002
2021-04-17:17,보통,62,좋음,13,보통,0.040,좋음,0.008,좋음,0.3,좋음,0.002
2021-04-17:16,나쁨,83,좋음,14,보통,0.038,좋음,0.012,좋음,0.3,좋음,0.002
2021-04-17:15,나쁨,142,보통,22,보통,0.041,좋음,0.013,좋음,0.3,좋음,0.002
2021-04-17:14,나쁨,145,보통,21,보통,0.036,좋음,0.015,좋음,0.3,좋음,0.002
2021-04-17:13,매우나쁨,159,보통,23,보통,0.038,좋음,0.011,좋음,0.3,좋음,0.002
2021-04-17:12,매우나쁨,166,보통,23,보통,0.033,좋음,0.016,좋음,0.3,좋음,0.003
2021-04-17:11,매우나쁨,154,보통,26,좋음,0.022,좋음,0.029,좋음,0.4,좋음,0.003
2021-04-17:10,나쁨,114,보통,21,좋음,0.014,보통,0.039,좋음,0.4,좋음,0.004
2021-04-17:09,나쁨,96,보통,18,좋음,0.013,보통,0.040,좋음,0.4,좋음,0.003
2021-04-17:08,보통,76,보통,16,좋음,0.005,보통,0.047,좋음,0.6,좋음,0.003
2021-04-17:07,보통,77,좋음,15,좋음,0.003,보통,0.041,좋음,0.6,좋음,0.003
2021-04-17:06,보통,78,보통,16,좋음,0.003,보통,0.040,좋음,0.5,좋음,0.002
2021-04-17:05,나쁨,86,보통,16,좋음,0.009,보통,0.033,좋음,0.5,좋음,0.002
2021-04-17:04,나쁨,84,보통,16,좋음,0.010,보통,0.035,좋음,0.5,좋음,0.002
2021-04-17:03,나쁨,83,보통,16,좋음,0.004,보통,0.047,좋음,0.5,좋음,0.003
2021-04-17:02,보통,78,보통,16,좋음,0.004,보통,0.045,좋음,0.5,좋음,0.002
2021-04-17:01,나쁨,87,보통,20,좋음,0.002,보통,0.049,좋음,0.5,좋음,0.003
2021-04-16:24,나쁨,96,보통,18,좋음,0.008,보통,0.046,좋음,0.5,좋음,0.002
2021-04-16:23,나쁨,97,보통,17,좋음,0.017,보통,0.037,좋음,0.4,좋음,0.002
2021-04-16:22,나쁨,82,좋음,15,좋음,0.024,좋음,0.030,좋음,0.4,좋음,0.003
2021-04-16:21,보통,78,보통,16,좋음,0.027,좋음,0.025,좋음,0.4,좋음,0.002
2021-04-16:20,보통,76,좋음,14,좋음,0.026,좋음,0.024,좋음,0.3,좋음,0.002
2021-04-16:19,매우나쁨,200,보통,23,좋음,0.030,좋음,0.019,좋음,0.3,좋음,0.002
2021-04-16:18,매우나쁨,367,나쁨,36,보통,0.033,좋음,0.015,좋음,0.3,좋음,0.002
2021-04-16:17,매우나쁨,257,보통,31,보통,0.037,좋음,0.016,좋음,0.3,좋음,0.003
2021-04-16:16,나쁨,98,보통,19,보통,0.033,좋음,0.024,좋음,0.4,좋음,0.002
2021-04-16:15,보통,49,보통,21,보통,0.031,좋음,0.023,좋음,0.4,좋음,0.002
2021-04-16:14,좋음,24,보통,16,좋음,0.028,좋음,0.019,좋음,0.3,좋음,0.002
2021-04-16:13,,,,,,,,,,,,
2021-04-16:12,,,,,,,,,,,,
2021-04-16:11,보통,37,보통,18,좋음,0.030,보통,0.032,좋음,0.4,좋음,0.002
2021-04-16:10,보통,33,좋음,15,좋음,0.026,보통,0.040,좋음,0.5,좋음,0.002
