날짜,PM10_1,PM10_2,PM25_1,PM25_2,O3_1,O3_2,NO2_1,NO2_2,CO_1,Co_2,SO2_1,SO2_2
2021-04-03:04,보통,54,보통,20,좋음,0.020,보통,0.031,좋음,0.4,좋음,0.003
2021-04-03:03,보통,58,보통,21,좋음,0.019,보통,0.034,좋음,0.4,좋음,0.003
2021-04-03:02,보통,59,보통,21,좋음,0.007,보통,0.055,좋음,0.6,좋음,0.003
2021-04-03:01,보통,63,보통,24,좋음,0.005,나쁨,0.062,좋음,0.6,좋음,0.003
2021-04-02:24,보통,60,보통,20,좋음,0.006,나쁨,0.061,좋음,0.5,좋음,0.004
2021-04-02:23,보통,68,보통,28,좋음,0.006,나쁨,0.066,좋음,0.6,좋음,0.003
2021-04-02:22,보통,59,보통,20,좋음,0.008,나쁨,0.065,좋음,0.6,좋음,0.003
2021-04-02:21,보통,62,보통,21,좋음,0.024,보통,0.042,좋음,0.4,좋음,0.003
2021-04-02:20,보통,66,보통,20,좋음,0.016,보통,0.058,좋음,0.5,좋음,0.004
2021-04-02:19,보통,56,보통,17,좋음,0.019,보통,0.055,좋음,0.4,좋음,0.004
2021-04-02:18,보통,46,좋음,14,보통,0.040,좋음,0.027,좋음,0.4,좋음,0.003
2021-04-02:17,보통,51,보통,17,보통,0.041,좋음,0.025,좋음,0.3,좋음,0.003
2021-04-02:16,보통,49,좋음,15,보통,0.039,보통,0.032,좋음,0.4,좋음,0.003
2021-04-02:15,보통,46,좋음,15,보통,0.043,좋음,0.025,좋음,0.4,좋음,0.003
2021-04-02:14,보통,40,좋음,13,보통,0.042,좋음,0.021,좋음,0.3,좋음,0.002
2021-04-02:13,보통,46,좋음,14,보통,0.041,좋음,0.019,좋음,0.3,좋음,0.002
2021-04-02:12,보통,45,좋음,12,보통,0.038,좋음,0.021,좋음,0.4,좋음,0.003
2021-04-02:11,보통,50,좋음,14,보통,0.033,좋음,0.025,좋음,0.4,좋음,0.002
2021-04-02:10,보통,48,좋음,11,보통,0.033,좋음,0.024,좋음,0.4,좋음,0.002
2021-04-02:09,보통,61,좋음,13,좋음,0.027,보통,0.031,좋음,0.4,좋음,0.003
2021-04-02:08,보통,50,좋음,11,좋음,0.028,좋음,0.030,좋음,0.4,좋음,0.002
2021-04-02:07,보통,55,좋음,12,보통,0.031,좋음,0.025,좋음,0.3,좋음,0.002
2021-04-02:06,보통,50,좋음,12,보통,0.035,좋음,0.019,좋음,0.3,좋음,0.002
2021-04-02:05,보통,56,좋음,12,보통,0.040,좋음,0.013,좋음,0.3,좋음,0.003
2021-04-02:04,보통,54,좋음,13,보통,0.041,좋음,0.012,좋음,0.3,좋음,0.002
2021-04-02:03,보통,56,좋음,13,보통,0.042,좋음,0.011,좋음,0.3,좋음,0.003
2021-04-02:02,보통,54,좋음,13,보통,0.044,좋음,0.009,좋음,0.3,좋음,0.002
2021-04-02:01,보통,57,좋음,14,보통,0.043,좋음,0.011,좋음,0.3,좋음,0.002
2021-04-01:24,보통,55,좋음,14,보통,0.038,좋음,0.017,좋음,0.3,좋음,0.002
2021-04-01:23,보통,60,좋음,15,보통,0.037,좋음,0.017,좋음,0.3,좋음,0.003
2021-04-01:22,보통,55,보통,16,보통,0.035,좋음,0.020,좋음,0.4,좋음,0.003
2021-04-01:21,보통,58,보통,17,좋음,0.029,좋음,0.027,좋음,0.4,좋음,0.002
2021-04-01:20,보통,65,보통,20,보통,0.034,좋음,0.026,좋음,0.4,좋음,0.003
2021-04-01:19,보통,74,보통,16,보통,0.037,좋음,0.025,좋음,0.4,좋음,0.003
2021-04-01:18,보통,66,좋음,15,보통,0.041,좋음,0.025,좋음,0.4,좋음,0.003
2021-04-01:17,보통,60,좋음,13,보통,0.043,좋음,0.023,좋음,0.4,좋음,0.003
2021-04-01:16,보통,51,좋음,13,보통,0.042,좋음,0.022,좋음,0.4,좋음,0.003
2021-04-01:15,보통,50,좋음,13,보통,0.041,좋음,0.022,좋음,0.4,좋음,0.003
2021-04-01:14,보통,47,좋음,13,보통,0.043,좋음,0.018,좋음,0.3,좋음,0.003
2021-04-01:13,보통,48,좋음,13,보통,0.041,좋음,0.019,좋음,0.3,좋음,0.002
2021-04-01:12,보통,43,좋음,13,보통,0.038,좋음,0.022,좋음,0.4,좋음,0.003
2021-04-01:11,보통,47,좋음,12,보통,0.032,좋음,0.026,좋음,0.4,좋음,0.003
2021-04-01:10,보통,42,좋음,11,좋음,0.028,좋음,0.030,좋음,0.5,좋음,0.003
2021-04-01:09,보통,45,보통,16,좋음,0.025,보통,0.034,좋음,0.4,좋음,0.003
2021-04-01:08,보통,36,좋음,14,좋음,0.009,보통,0.051,좋음,0.5,좋음,0.003
2021-04-01:07,보통,40,보통,16,좋음,0.010,보통,0.049,좋음,0.5,좋음,0.003
2021-04-01:06,보통,35,보통,16,좋음,0.011,보통,0.045,좋음,0.5,좋음,0.003
2021-04-01:05,보통,38,보통,19,좋음,0.018,보통,0.033,좋음,0.5,좋음,0.003
2021-04-01:04,보통,36,보통,17,좋음,0.019,보통,0.033,좋음,0.5,좋음,0.003
2021-04-01:03,보통,41,보통,23,좋음,0.006,보통,0.052,좋음,0.6,좋음,0.003
2021-04-01:02,보통,37,보통,18,좋음,0.003,보통,0.055,좋음,0.6,좋음,0.003
2021-04-01:01,보통,39,보통,20,좋음,0.003,보통,0.057,좋음,0.6,좋음,0.003
